Number of vertices;Depth of tree;Are isomorphic;Time [ms]
2290;233;false;20816
1570;153;false;9910
1040;113;false;4190
1360;220;false;3784
2710;140;false;13710
2900;286;false;16434
1640;233;false;10818
1570;246;false;6542
2610;206;false;13144
1330;153;false;7142
2140;193;false;18738
2460;260;false;14550
1800;180;false;6762
1860;193;false;13910
1350;260;false;4088
1480;273;false;8956
1310;220;false;3528
1140;246;false;2750
1330;193;false;7078
1510;193;false;9382
1690;273;false;11788
1740;166;false;6178
1590;300;false;5142
2380;286;false;11498
1830;286;false;6850
2090;206;false;8860
2290;193;false;22762
2960;140;false;16994
1430;273;false;8248
2790;126;false;14782
1870;260;false;7564
1690;180;false;5708
1370;180;false;4008
2270;206;false;10330
1820;153;false;12978
1790;233;false;13130
2360;300;false;10984
1960;273;false;15822
2210;113;false;19372
2800;153;false;30064
2640;180;false;13934
2920;286;false;16704
1050;260;false;2314
2220;273;false;20710
1320;153;false;7050
2990;166;false;17974
1550;166;false;4742
2340;233;false;20650
1290;300;false;3412
2550;300;false;12784
2070;126;false;8628
2170;206;false;9494
2600;153;false;25354
1440;113;false;8274
2070;246;false;8860
1380;126;false;3800
2580;166;false;12696
1980;193;false;15910
2610;140;false;13254
2430;193;false;23262
2150;126;false;9520
2540;126;false;12238
1460;220;false;4572
2490;153;false;23696
2660;153;false;27772
2000;220;false;8202
1050;140;false;2214
2140;153;false;18906
2210;126;false;9646
2890;140;false;16282
1590;126;false;4974
2760;273;false;29900
1650;113;false;11092
2560;286;false;12976
2580;260;false;14562
2950;180;false;16794
1780;260;false;6686
1710;273;false;12144
2860;220;false;15466
2260;206;false;11042
2420;166;false;10670
1800;126;false;6674
1220;193;false;5930
1030;260;false;2282
2250;140;false;10124
2000;166;false;8116
1310;193;false;6886
2010;180;false;8504
2660;220;false;14370
2800;233;false;30402
2310;206;false;11080
1950;260;false;8162
2680;153;false;27160
1220;220;false;3002
1870;166;false;7202
2070;286;false;8636
2670;273;false;28046
2440;166;false;11162
1750;246;false;6468
2000;246;false;8318
1870;286;false;7286
1630;260;false;6316
1510;260;false;4704
3000;193;false;33358
1290;166;false;3314
2000;233;false;16050
2300;220;false;9980
2080;286;false;8934
2270;193;false;22360
1130;220;false;2656
1120;220;false;2614
2500;206;false;12642
2850;233;false;31232
1830;220;false;6842
2610;286;false;13448
1350;246;false;4272
1080;166;false;2458
1420;286;false;4298
1890;153;false;14652
2470;206;false;12738
2240;233;false;20026
1080;180;false;2452
1270;233;false;6480
2220;180;false;9920
1420;166;false;4058
2730;273;false;28870
1420;193;false;8094
2640;286;false;13884
2260;113;false;20716
2020;153;false;16372
2880;180;false;15392
2800;180;false;15528
2300;260;false;10866
1590;140;false;5126
2740;273;false;29280
2670;233;false;27160
2730;193;false;28630
2700;286;false;14746
2540;166;false;12458
2670;246;false;14346
1690;206;false;5932
1960;113;false;15220
1130;180;false;2632
1200;180;false;2882
1890;140;false;7672
2480;220;false;12012
1720;233;false;12154
2410;300;false;11698
1840;273;false;13888
1790;113;false;12772
1100;286;false;2606
2390;300;false;11088
2220;113;false;19798
2420;300;false;11510
1620;220;false;5480
1610;220;false;5456
2210;233;false;18562
1200;206;false;2938
2830;233;false;33056
1790;193;false;12664
1790;126;false;6562
1460;153;false;8542
2840;126;false;15424
1750;220;false;6338
1830;300;false;6810
2620;153;false;26396
1380;246;false;4636
2260;193;false;20072
2170;260;false;10570
2340;193;false;22008
1530;260;false;4958
1780;180;false;6680
2680;260;false;14124
2090;126;false;8776
2460;140;false;12192
1660;206;false;5444
2980;300;false;17186
1030;153;false;4246
1300;113;false;6816
1250;273;false;6304
2430;126;false;11380
1630;300;false;5662
2100;126;false;9258
1760;153;false;12486
2380;166;false;11010
1400;193;false;7954
2630;166;false;13620
2140;286;false;9524
1040;220;false;2258
1620;180;false;5294
1290;246;false;3936
1830;206;false;6968
1050;180;false;2310
1060;246;false;2420
1400;180;false;3962
2420;260;false;15892
2530;153;false;24464
1500;300;false;4766
2790;206;false;15208
1640;180;false;5652
1750;126;false;6244
1070;153;false;4524
2120;260;false;10694
2390;140;false;12216
2650;246;false;13982
2950;220;false;16868
1850;220;false;7312
1460;180;false;4350
2590;180;false;13244
1370;286;false;4038
2180;286;false;10020
1130;166;false;2618
2680;220;false;14012
1270;300;false;3346
1240;273;false;6358
1820;273;false;13722
1790;220;false;6726
1300;153;false;6682
2800;220;false;14946
1230;273;false;6266
2130;300;false;9076
1910;126;false;7570
2810;140;false;15776
1580;126;false;5114
1420;180;false;4098
1600;300;false;5092
1240;140;false;3154
1640;206;false;5638
2880;126;false;16000
2810;220;false;15064
1090;140;false;2442
2440;273;false;22978
2360;153;false;23242
1650;220;false;5596
2910;260;false;16600
1120;233;false;5170
1620;166;false;5458
1530;140;false;4686
1920;126;false;7308
2370;233;false;22406
2830;180;false;15464
2330;180;false;11222
2060;193;false;17120
1120;180;false;2636
1230;113;false;5984
1450;140;false;4260
2580;113;false;24528
1400;126;false;3934
1280;260;false;3754
1260;193;false;6396
2710;166;false;14476
2160;113;false;18848
1730;166;false;6122
2360;260;false;12460
2600;233;false;25816
1590;286;false;5334
1530;166;false;4664
1670;153;false;11318
1270;193;false;6558
1570;220;false;5158
2770;220;false;14522
2450;260;false;13106
2280;113;false;20998
2070;260;false;10986
2660;286;false;14076
1360;126;false;3716
1400;273;false;7878
2720;140;false;14278
1560;286;false;5234
2070;180;false;8806
1970;166;false;8108
2160;140;false;9598
2890;126;false;16342
2220;220;false;10614
1430;300;false;4256
1960;166;false;7798
1090;166;false;2528
1110;113;false;4794
1950;246;false;7762
2950;246;false;17430
2360;206;false;11798
1710;300;false;5912
2010;300;false;8310
2200;233;false;19658
1360;113;false;7276
2100;180;false;8968
2780;126;false;15204
1740;260;false;6402
1180;113;false;5430
1840;140;false;7022
2920;140;false;16138
2630;140;false;13810
1030;246;false;2204
2360;113;false;22392
1460;233;false;8672
2940;300;false;16264
1220;206;false;2986
2580;126;false;13194
2480;166;false;12184
2970;286;false;16836
2980;220;false;17058
2210;260;false;10558
1160;206;false;2734
1520;246;false;5860
