Number of vertices;Depth of tree;Are isomorphic;Time [ms]
1150;233;false;2670
1120;246;false;1322
1180;300;false;1480
1720;193;false;6154
1970;140;false;3843
1300;166;false;1745
2160;233;false;9552
2980;193;false;16450
1090;300;false;1263
1400;153;false;3998
1490;260;false;2408
2150;140;false;4741
1440;273;false;4184
2180;220;false;4827
2200;126;false;4796
1740;233;false;6191
1650;286;false;2769
2780;233;false;15289
1940;153;false;7625
1020;153;false;2052
1460;300;false;2205
1380;220;false;2035
1970;286;false;4112
2690;260;false;7461
1020;126;false;1043
2480;140;false;5987
1210;300;false;1552
1420;260;false;2081
2820;140;false;7592
1950;113;false;7586
2580;300;false;6832
2870;180;false;8037
2450;180;false;5766
2510;153;false;11970
2650;153;false;13542
1350;166;false;1908
2610;260;false;8207
1730;233;false;6086
1340;286;false;1890
1230;180;false;1522
2180;140;false;4776
2540;233;false;12479
2350;126;false;5801
2830;126;false;7588
1020;300;false;1088
1670;246;false;2891
2930;300;false;8295
1340;206;false;1885
1980;153;false;8050
2760;206;false;7472
1560;300;false;2539
1120;153;false;2549
2930;140;false;8074
1440;260;false;2124
2290;180;false;5422
2130;220;false;4813
1930;300;false;3832
1720;166;false;3025
1850;193;false;7085
1360;246;false;2213
1940;140;false;3911
1590;166;false;2606
1320;206;false;1794
1900;113;false;7116
2770;126;false;7298
2910;246;false;8249
1050;113;false;2143
2940;286;false;8436
2330;286;false;5286
1370;140;false;1901
2770;300;false;7506
2680;126;false;7028
1540;153;false;4812
2260;246;false;5507
2740;126;false;7268
1650;166;false;2781
1710;126;false;2797
1450;126;false;2100
1070;286;false;1203
2670;126;false;6934
2270;300;false;5261
1880;220;false;3663
2590;220;false;6498
1990;193;false;8052
2880;260;false;8247
1500;286;false;2328
2980;166;false;8687
2390;286;false;5496
2380;113;false;11934
2160;206;false;4775
1980;206;false;4099
1220;273;false;3074
2550;113;false;12498
1540;273;false;4693
1450;220;false;2248
2080;193;false;8878
2860;206;false;7831
1840;233;false;6912
1250;260;false;1676
2770;140;false;7467
2460;153;false;11757
2550;126;false;5922
1150;300;false;1439
2940;273;false;16535
1260;206;false;1644
2460;180;false;5574
1530;126;false;2450
1380;273;false;3871
2820;153;false;15131
2450;153;false;11323
2410;113;false;11307
1080;233;false;2339
1400;140;false;1998
1240;166;false;1612
2820;246;false;8832
2990;180;false;8805
2410;193;false;10841
2160;273;false;9518
2690;246;false;6975
1660;166;false;2817
2570;153;false;12801
2910;286;false;8193
2970;273;false;16675
1180;153;false;2796
1740;113;false;6086
1380;260;false;2080
2570;193;false;12961
2400;153;false;11371
1440;193;false;4251
2000;193;false;8205
2910;180;false;8079
1460;166;false;2121
1490;153;false;4594
1840;300;false;3513
2590;286;false;6645
1800;193;false;6526
2230;126;false;5432
1880;180;false;3684
2010;220;false;4140
2360;286;false;6016
1530;220;false;2446
2410;166;false;5588
1350;286;false;1963
1050;166;false;1091
1730;113;false;6056
2290;233;false;10408
1570;153;false;4955
1040;113;false;2095
1360;220;false;1892
2710;140;false;6855
2900;286;false;8217
1640;233;false;5409
1570;246;false;3271
2610;206;false;6572
1330;153;false;3571
2140;193;false;9369
2460;260;false;7275
1800;180;false;3381
1860;193;false;6955
1350;260;false;2044
1480;273;false;4478
1310;220;false;1764
1140;246;false;1375
1330;193;false;3539
1510;193;false;4691
1690;273;false;5894
1740;166;false;3089
1590;300;false;2571
2380;286;false;5749
1830;286;false;3425
2090;206;false;4430
2290;193;false;11381
2960;140;false;8497
1430;273;false;4124
2790;126;false;7391
1870;260;false;3782
1690;180;false;2854
1370;180;false;2004
2270;206;false;5165
1820;153;false;6489
1790;233;false;6565
2360;300;false;5492
1960;273;false;7911
2210;113;false;9686
2800;153;false;15032
2640;180;false;6967
2920;286;false;8352
1050;260;false;1157
2220;273;false;10355
1320;153;false;3525
2990;166;false;8987
1550;166;false;2371
2340;233;false;10325
1290;300;false;1706
2550;300;false;6392
2070;126;false;4314
2170;206;false;4747
2600;153;false;12677
1440;113;false;4137
2070;246;false;4430
1380;126;false;1900
2580;166;false;6348
1980;193;false;7955
2610;140;false;6627
2430;193;false;11631
2150;126;false;4760
2540;126;false;6119
1460;220;false;2286
2490;153;false;11848
2660;153;false;13886
2000;220;false;4101
1050;140;false;1107
2140;153;false;9453
2210;126;false;4823
2890;140;false;8141
1590;126;false;2487
2760;273;false;14950
1650;113;false;5546
2560;286;false;6488
2580;260;false;7281
2950;180;false;8397
1780;260;false;3343
1710;273;false;6072
2860;220;false;7733
2260;206;false;5521
2420;166;false;5335
1800;126;false;3337
1220;193;false;2965
1030;260;false;1141
2250;140;false;5062
2000;166;false;4058
1310;193;false;3443
2010;180;false;4252
2660;220;false;7185
2800;233;false;15201
2310;206;false;5540
1950;260;false;4081
2680;153;false;13580
1220;220;false;1501
1870;166;false;3601
2070;286;false;4318
2670;273;false;14023
2440;166;false;5581
1750;246;false;3234
2000;246;false;4159
1870;286;false;3643
1630;260;false;3158
1510;260;false;2352
3000;193;false;16679
1290;166;false;1657
2000;233;false;8025
2300;220;false;4990
2080;286;false;4467
2270;193;false;11180
1130;220;false;1328
1120;220;false;1307
2500;206;false;6321
2850;233;false;15616
1830;220;false;3421
2610;286;false;6724
1350;246;false;2136
1080;166;false;1229
1420;286;false;2149
1890;153;false;7326
2470;206;false;6369
2240;233;false;10013
1080;180;false;1226
1270;233;false;3240
2220;180;false;4960
1420;166;false;2029
2730;273;false;14435
1420;193;false;4047
2640;286;false;6942
2260;113;false;10358
2020;153;false;8186
2880;180;false;7696
2800;180;false;7764
2300;260;false;5433
1590;140;false;2563
2740;273;false;14640
2670;233;false;13580
2730;193;false;14315
2700;286;false;7373
2540;166;false;6229
2670;246;false;7173
1690;206;false;2966
1960;113;false;7610
1130;180;false;1316
1200;180;false;1441
1890;140;false;3836
2480;220;false;6006
1720;233;false;6077
2410;300;false;5849
1840;273;false;6944
1790;113;false;6386
1100;286;false;1303
2390;300;false;5544
2220;113;false;9899
2420;300;false;5755
1620;220;false;2740
1610;220;false;2728
2210;233;false;9281
1200;206;false;1469
2830;233;false;16528
1790;193;false;6332
1790;126;false;3281
1460;153;false;4271
2840;126;false;7712
1750;220;false;3169
1830;300;false;3405
2620;153;false;13198
1380;246;false;2318
2260;193;false;10036
2170;260;false;5285
2340;193;false;11004
1530;260;false;2479
1780;180;false;3340
2680;260;false;7062
2090;126;false;4388
2460;140;false;6096
1660;206;false;2722
2980;300;false;8593
1030;153;false;2123
1300;113;false;3408
1250;273;false;3152
2430;126;false;5690
1630;300;false;2831
2100;126;false;4629
1760;153;false;6243
2380;166;false;5505
1400;193;false;3977
2630;166;false;6810
2140;286;false;4762
1040;220;false;1129
1620;180;false;2647
1290;246;false;1968
1830;206;false;3484
1050;180;false;1155
1060;246;false;1210
1400;180;false;1981
2420;260;false;7946
2530;153;false;12232
1500;300;false;2383
2790;206;false;7604
1640;180;false;2826
1750;126;false;3122
1070;153;false;2262
2120;260;false;5347
2390;140;false;6108
2650;246;false;6991
2950;220;false;8434
1850;220;false;3656
1460;180;false;2175
2590;180;false;6622
1370;286;false;2019
2180;286;false;5010
1130;166;false;1309
2680;220;false;7006
1270;300;false;1673
1240;273;false;3179
1820;273;false;6861
1790;220;false;3363
1300;153;false;3341
2800;220;false;7473
1230;273;false;3133
2130;300;false;4538
1910;126;false;3785
2810;140;false;7888
1580;126;false;2557
1420;180;false;2049
1600;300;false;2546
1240;140;false;1577
1640;206;false;2819
2880;126;false;8000
2810;220;false;7532
1090;140;false;1221
2440;273;false;11489
2360;153;false;11621
1650;220;false;2798
2910;260;false;8300
1120;233;false;2585
1620;166;false;2729
1530;140;false;2343
1920;126;false;3654
2370;233;false;11203
2830;180;false;7732
2330;180;false;5611
2060;193;false;8560
1120;180;false;1318
1230;113;false;2992
1450;140;false;2130
2580;113;false;12264
1400;126;false;1967
1280;260;false;1877
1260;193;false;3198
2710;166;false;7238
2160;113;false;9424
1730;166;false;3061
2360;260;false;6230
2600;233;false;12908
1590;286;false;2667
1530;166;false;2332
1670;153;false;5659
1270;193;false;3279
1570;220;false;2579
2770;220;false;7261
2450;260;false;6553
2280;113;false;10499
2070;260;false;5493
2660;286;false;7038
1360;126;false;1858
1400;273;false;3939
2720;140;false;7139
1560;286;false;2617
2070;180;false;4403
1970;166;false;4054
2160;140;false;4799
2890;126;false;8171
2220;220;false;5307
1430;300;false;2128
1960;166;false;3899
1090;166;false;1264
1110;113;false;2397
1950;246;false;3881
2950;246;false;8715
2360;206;false;5899
1710;300;false;2956
2010;300;false;4155
2200;233;false;9829
1360;113;false;3638
2100;180;false;4484
2780;126;false;7602
1740;260;false;3201
1180;113;false;2715
1840;140;false;3511
2920;140;false;8069
2630;140;false;6905
1030;246;false;1102
2360;113;false;11196
1460;233;false;4336
2940;300;false;8132
1220;206;false;1493
2580;126;false;6597
2480;166;false;6092
2970;286;false;8418
2980;220;false;8529
2210;260;false;5279
1160;206;false;1367
1520;246;false;2930
